,Sheep,Image,Scale,Directionality
0,11,47,35,0.12293093863268585
1,19,47,35,0.2960646303414909
2,26,47,43,0.5407874985253868
3,30,47,35,0.18357764140190538
4,44,47,31,0.23944363110890163
5,45,47,31,0.272996598875056
6,52,47,31,0.10973195086282628
7,54,47,35,0.16809043358162212
8,57,47,43,0.39257780964257916
9,58,47,31,0.2624708437613203
10,60,47,35,0.2871867345636164
11,68,47,31,0.28358170651986514
12,70,47,35,0.26933092142290743
13,74,47,35,0.28674603775482016
14,101,47,31,0.14879749812825777
15,102,47,31,0.13576698829793674
16,104,47,31,0.2151491676863209
17,105,47,35,0.14521591781058255
18,106,47,35,0.3526253700703362
19,109,47,35,0.3842769225647173
20,113,47,35,0.20517974138654696
21,114,47,31,0.1559945527281317
22,115,47,31,0.1561164647541522
23,117,47,31,0.268953774650089
24,118,47,31,0.18819870168622624
25,120,47,35,0.0765590540729114
26,122,47,35,0.33557896162153833
27,126,47,27,0.21694626005130374
28,128,47,31,0.07387728339615399
29,129,47,31,0.19989831531179583
30,132,47,35,0.19072416448597931
31,133,47,31,0.16782989475907334
32,135,47,31,0.1322961582801742
33,137,47,35,0.19912241872934386
34,138,47,27,0.1327297580648839
35,139,47,27,0.21064228721052533
36,143,47,31,0.35981354605903604
37,148,47,35,0.1599551618845224
