,Sheep,Image,Lacunarity
0,11,47,0.06545804887865879
1,19,47,0.05786127322902035
2,26,47,0.06646189837078763
3,30,47,0.05737341377490973
4,44,47,0.11807929905568897
5,45,47,0.12508237748474246
6,52,47,0.08342940200450084
7,54,47,0.09869547333532307
8,57,47,0.058849062989679464
9,58,47,0.09607236052751651
10,60,47,0.10812498198744827
11,68,47,0.10273545327223987
12,70,47,0.12408504142658859
13,74,47,0.08628323581947528
14,101,47,0.08250304663056374
15,102,47,0.09655610502652114
16,104,47,0.09816811093754292
17,105,47,0.05922943117950611
18,106,47,0.06424610536655444
19,109,47,0.08685505633572702
20,113,47,0.07960111175969714
21,114,47,0.09469796412748313
22,115,47,0.08116085311205433
23,117,47,0.14123074827706475
24,118,47,0.13807524780222064
25,120,47,0.13507375483966402
26,122,47,0.09395550434497386
27,126,47,0.14658918631130838
28,128,47,0.08069436421758087
29,129,47,0.0817920021153611
30,132,47,0.0784719834887747
31,133,47,0.08589550370975003
32,135,47,0.07973805301661033
33,137,47,0.07487130880143054
34,138,47,0.08183311370277835
35,139,47,0.07601440213562181
36,143,47,0.06963097443354732
37,148,47,0.10537591376945248
